epoch,loss,output_1_accuracy,output_1_loss,output_2_loss,val_loss,val_output_1_accuracy,val_output_1_loss,val_output_2_loss
0,0.0815156027674675,0.9210600256919861,0.0814501941204071,0.1308109611272812,0.019771773368120193,0.984499990940094,0.019738826900720596,0.06589165329933167
1,0.01692068949341774,0.986299991607666,0.01688794419169426,0.06547034531831741,0.01336892694234848,0.9873999953269958,0.013337396085262299,0.0630674660205841
2,0.01216095220297575,0.9903200268745422,0.012130269780755043,0.061356328427791595,0.013992930762469769,0.9869999885559082,0.013964184559881687,0.05748869106173515
3,0.009053687565028667,0.9932199716567993,0.009025241248309612,0.05689232796430588,0.011097580194473267,0.9897000193595886,0.011070353910326958,0.054448194801807404
4,0.0065299212001264095,0.9953200221061707,0.006502324249595404,0.05519385263323784,0.01187420729547739,0.9904999732971191,0.01184755377471447,0.05331330746412277
5,0.005143311340361834,0.9966199994087219,0.005116053856909275,0.054514043033123016,0.011551438830792904,0.9894000291824341,0.01152502465993166,0.052825842052698135
6,0.003534102812409401,0.9979599714279175,0.0035070073790848255,0.05419781804084778,0.01192743331193924,0.9891999959945679,0.011901162564754486,0.0525427870452404
7,0.002705706749111414,0.9985600113868713,0.0026786942034959793,0.054026637226343155,0.010629571042954922,0.9890999794006348,0.010603361763060093,0.05241703987121582
8,0.0017675303388386965,0.9992600083351135,0.0017405640101060271,0.05393106862902641,0.0092774648219347,0.9907000064849854,0.0092513058334589,0.05232300981879234
9,0.0011084650177508593,0.9994199872016907,0.0010815305868163705,0.0538681261241436,0.00968832615762949,0.9901999831199646,0.009662196040153503,0.0522577278316021
10,0.0009073224500752985,0.9996600151062012,0.000880413455888629,0.053817592561244965,0.009624795988202095,0.9905999898910522,0.009598683565855026,0.052224718034267426
11,0.000629021436907351,0.9997199773788452,0.000602127518504858,0.053787797689437866,0.009721328504383564,0.991100013256073,0.009695249609649181,0.05215606093406677
12,0.0004583775589708239,0.9998400211334229,0.0004314968828111887,0.053761549293994904,0.009904483333230019,0.9898999929428101,0.009878400713205338,0.052167344838380814
13,0.0004406632506288588,0.9998800158500671,0.0004137952346354723,0.053736612200737,0.009504737332463264,0.9898999929428101,0.009478677064180374,0.05212179571390152
14,0.0002938336692750454,0.9999600052833557,0.00026697255088947713,0.0537218414247036,0.009898630902171135,0.9907000064849854,0.00987258367240429,0.052090730518102646
15,0.00016005890211090446,0.9999600052833557,0.00013320699508767575,0.05370379984378815,0.00876475777477026,0.9908000230789185,0.008738704957067966,0.05210153013467789
16,0.0003260960802435875,0.9999600052833557,0.00029924881528131664,0.05369451269507408,0.009559963829815388,0.9904999732971191,0.009533931501209736,0.052063532173633575
17,0.0001555790368001908,0.9999799728393555,0.00012873875675722957,0.05368096008896828,0.008891074918210506,0.9908000230789185,0.008865045383572578,0.0520576648414135
18,8.598368731327355e-05,0.9999799728393555,5.914649591431953e-05,0.05367431789636612,0.008674235083162785,0.9908000230789185,0.008648215793073177,0.05203784257173538
19,4.616817022906616e-05,0.9999799728393555,1.9334722310304642e-05,0.05366690084338188,0.008530884049832821,0.991100013256073,0.008504861034452915,0.052043333649635315
20,4.114655530429445e-05,0.9999799728393555,1.4315051885205321e-05,0.05366305634379387,0.008714420720934868,0.9908000230789185,0.008688397705554962,0.05204227194190025
21,3.9386035496136174e-05,0.9999799728393555,1.2558395610540174e-05,0.05365524813532829,0.00862936396151781,0.9909999966621399,0.008603353053331375,0.05202598124742508
22,3.805620508501306e-05,0.9999799728393555,1.1230358722968958e-05,0.05365169793367386,0.00856506172567606,0.9908999800682068,0.00853904988616705,0.05202020704746246
23,3.7370144127635285e-05,0.9999799728393555,1.0546781595621724e-05,0.05364672467112541,0.00864784698933363,0.9908000230789185,0.008621841669082642,0.05201510712504387
24,3.6675606679636985e-05,0.9999799728393555,9.854376912699081e-06,0.05364247411489487,0.008655736222863197,0.9909999966621399,0.008629729971289635,0.052008941769599915
25,3.607950566220097e-05,0.9999799728393555,9.260167644242756e-06,0.05363866314291954,0.008651584386825562,0.9908999800682068,0.00862557627260685,0.05201301351189613
26,3.5969485907116905e-05,0.9999799728393555,9.151868653134443e-06,0.053635261952877045,0.00869825016707182,0.9908999800682068,0.00867224670946598,0.052007440477609634
27,4.612828706740402e-05,1.0,1.9313620214234106e-05,0.053629279136657715,0.008947162888944149,0.9914000034332275,0.00892115943133831,0.05200248584151268
28,3.1727930036140606e-05,1.0,4.914300916425418e-06,0.053627267479896545,0.008982242085039616,0.9908000230789185,0.008956244215369225,0.052002910524606705
29,2.8527107133413665e-05,1.0,1.7137439272119082e-06,0.053626686334609985,0.008816726505756378,0.9908999800682068,0.008790726773440838,0.05199769139289856
30,2.785648757708259e-05,1.0,1.0447042768646497e-06,0.05362359434366226,0.008803822100162506,0.9912999868392944,0.008777824230492115,0.05199968442320824
31,2.7743053578888066e-05,1.0,9.319903711002553e-07,0.053622107952833176,0.00874660350382328,0.9911999702453613,0.008720602840185165,0.0519971139729023
32,2.748471888480708e-05,1.0,6.744779739165097e-07,0.053620513528585434,0.008728419430553913,0.9912999868392944,0.008702420629560947,0.05199490860104561
33,2.7345839043846354e-05,1.0,5.363033892535896e-07,0.05361903831362724,0.008745722472667694,0.9911999702453613,0.008719724602997303,0.05199171230196953
34,2.7292360755382106e-05,1.0,4.832659783460258e-07,0.053618162870407104,0.00875843595713377,0.9914000034332275,0.008732447400689125,0.051989153027534485
35,2.726409729802981e-05,1.0,4.5633458967131446e-07,0.05361553281545639,0.008767694234848022,0.9909999966621399,0.008741701953113079,0.05198968946933746
36,2.7179195967619307e-05,1.0,3.7144818065826257e-07,0.05361549183726311,0.00876526813954115,0.9909999966621399,0.008739273995161057,0.05199073627591133
37,2.7159665478393435e-05,1.0,3.5234819506513304e-07,0.05361461266875267,0.008714914321899414,0.9909999966621399,0.00868892204016447,0.051986414939165115
38,2.714529910008423e-05,1.0,3.39339834454222e-07,0.05361192300915718,0.008714872412383556,0.9911999702453613,0.008688881061971188,0.0519862063229084
39,2.7095629775431007e-05,1.0,2.894705346534465e-07,0.05361231043934822,0.008741237223148346,0.991100013256073,0.008715243078768253,0.05198419839143753
40,2.703909922274761e-05,1.0,2.334348607746506e-07,0.05361132696270943,0.008712074719369411,0.9908999800682068,0.008686084300279617,0.05198453366756439
